iq,cgpa,10th_marks,12th_marks,communication_skills,placed
87,7.64,76.58,85.9,8.7,1
84,6.95,68.47,76.18,6.9,1
71,8.01,76.3,87.35,7.1,1
131,6.69,46.79,69.82,7.1,1
83,9,74.1,59.01,5.8,0
97,8.85,79.18,60.39,7.6,1
96,7.03,85.64,59.5,6.7,0
105,6.87,77.31,80.73,8.4,1
112,4.88,83.48,92.72,6.8,1
113,6.02,58.2,68.22,5.7,1
91,6.16,79.43,82.55,4.7,1
97,7.64,63.2,56.72,4.2,0
104,7.17,67.92,77.16,9,0
96,6.15,78.13,83.02,6.3,0
124,7.22,92.76,57.62,7.5,1
107,8.01,83.71,72.55,9.7,1
111,8.03,80.18,83.59,6.2,0
110,5.6,79.8,39.79,6.1,1
118,7.37,72.86,91.03,6.8,0
103,6.12,74.56,79.24,7,0
81,8.4,84.27,83.6,9.8,1
106,8.28,66.15,70.05,9.3,1
90,6.6,85.93,54.33,7.9,0
92,6.73,76.11,81.41,9.2,1
109,7.04,88.26,74.01,6.7,1
119,5.25,89.61,75.39,7.4,1
100,7.84,63.27,88.05,6.5,0
105,7.23,74.18,84.14,5.1,1
126,8.47,71.44,98.05,8.8,1
104,6.4,61.87,76.85,7.8,0
139,6.88,69.67,66.71,7,0
108,5.99,100,72.74,7,1
74,6.5,86.1,79.99,4.7,0
111,6.32,99.17,87.19,5.5,1
106,8.5,88.29,57.4,7.5,1
119,6.8,72.58,75.1,6.2,0
110,7.62,76.18,94.31,6.7,1
98,7.12,85.88,72.12,6.8,0
82,6.23,84.38,86.17,6,0
97,7.33,74.23,80.92,5.5,1
87,8.1,64.9,86.47,4.6,0
91,6.29,100,65.28,6.8,1
109,8.31,78.59,65.34,7.9,1
125,6.65,76.74,75.24,4.5,1
106,7.02,81.13,56.61,7,0
82,8.03,77.57,71.76,7.4,1
107,6.84,81.23,78.03,5.5,0
118,7.54,92.87,96.42,9.1,1
91,7.19,78.75,79.83,6.4,0
98,7.63,68.37,82.5,6.8,0
100,5.12,78.38,88.97,6.8,1
88,5.67,75.36,63.42,4.3,0
110,8.12,94.24,73.02,8.5,1
98,8.54,91.71,100,5.6,1
106,6.59,81.08,74.05,6.6,1
87,7.26,67.21,88.4,7.9,1
93,7.79,67.74,86.56,9.2,0
111,8.19,80.15,57.26,5.4,1
94,5.47,83.36,78.73,6.3,1
126,6.61,76.25,76.76,9.1,1
94,7.17,75.2,78.96,7.7,1
103,8.2,74.07,65.95,8,1
114,10,79.77,61.6,5.4,1
79,7.27,56.17,69.29,6.4,0
74,6.09,68.99,73.83,6.7,1
77,7.9,73.73,89.22,5.7,1
119,8.82,92.08,96.81,4.5,1
92,7.61,71.86,91.76,6.2,1
138,6.59,81.8,85.32,9,0
92,8.46,82.27,62.95,7.1,1
103,8.16,92.98,70.09,9.1,1
123,6.47,92.63,77.52,7.3,1
130,7.88,79.42,67.41,5.9,0
131,8.5,75.25,81.93,8.9,1
118,8.68,73.36,83.65,7.3,1
115,7.43,77.59,81.44,8.4,1
109,7.14,75.66,87.3,5.4,0
112,8.73,85.54,64.14,8.6,0
92,6.29,84.2,86.19,8.6,1
88,7.94,85.92,66.65,7.4,0
100,6.13,92.59,63.71,5.8,0
97,8.57,98.63,81.39,6.9,1
93,7.24,81.25,89.59,7.9,1
110,8.77,90.99,80.86,7.4,0
114,7.99,76.48,75.25,7.9,1
101,6.28,91.85,78.72,8.5,0
122,8.92,90.62,76.64,6,1
83,9.05,90.08,61.49,5.3,0
97,8.38,80.94,60.09,6.9,1
89,6.74,73.32,74.05,6.5,1
72,7.19,66.05,75.96,8.2,1
99,7.65,79.6,75.14,5.4,1
98,6.8,95.33,83.11,8.5,1
123,9.19,76.9,72.41,9,1
109,7.64,87.85,81.76,7,0
85,4.8,88.44,73.26,7.1,0
128,7.84,77.16,96.88,5.8,1
118,7.15,93.16,75.97,6.2,1
109,7.43,50.91,100,6.4,1
97,7.13,67.77,79.22,9.2,1
86,8.31,70.84,72.44,6.9,0
94,8.62,71.8,64.21,5,1
116,7.78,83.36,57.69,7.4,0
128,7.16,82.9,63.1,8.2,1
123,7.46,83.94,64.44,7,0
93,7.52,85.96,79.74,9.2,1
83,6.7,70.5,68.69,8.2,1
102,8.08,67.82,77.24,5.4,0
73,7.96,83.96,90.38,6.2,0
105,9.04,73.7,73.95,7.3,0
98,8.76,64.3,99.95,4.5,1
93,6.81,89.71,60.89,7.5,0
76,8.32,93.95,73.19,4.4,0
108,6.55,95.57,68.53,8.5,1
92,8.2,81.87,86.24,8.4,1
82,6.98,86.26,48.12,7.8,0
70,6.48,93.7,57.68,6,0
100,7.78,73.59,73.71,7.3,0
127,4.83,91.11,93.62,6.2,0
125,5.75,82.75,77.71,5.5,1
93,7.32,89.14,58.78,6.5,0
91,7.58,81.86,60.63,8,0
107,7.13,92.96,95.08,7.1,0
85,5.92,82.24,67.55,9.2,0
105,6.68,65.16,63.68,8.1,0
111,7.89,94.52,92.73,8,1
118,8.08,70.52,87.13,4.6,1
98,7.48,92.53,90.29,6.6,1
97,8.66,79.1,63.6,5.4,0
87,7.9,91.76,56.7,6.7,1
88,6.75,91.35,76.6,6,0
97,7.22,84.3,79.02,6.4,1
106,6.1,85.09,79.38,8.6,1
114,7.39,84.23,92.74,7.7,1
88,8.61,59.86,54.19,8.5,0
122,8.19,81.18,85.32,4.6,1
96,8.9,68.84,61.84,7.1,0
100,7.2,81.71,85.27,8.5,1
89,8.85,68.57,69.3,9.3,1
70,7.31,68.15,65.23,4.7,1
113,8.97,96.05,67.68,6.5,0
111,7.48,90.69,57.65,8.6,1
96,8.21,79.96,75.49,6.7,0
101,8.98,81.85,65.73,5.6,1
108,7.31,77.52,84.44,4.7,1
77,7.72,85.7,82.68,5.6,1
92,8.79,73.24,95.26,4.5,1
112,7.37,89.94,79.4,7.1,1
81,6.18,77.47,81.25,8.3,0
104,9.64,75.8,91.8,5.1,0
80,7.03,80.22,67.47,7.4,1
107,7.66,74.09,57.14,8.3,1
99,8.66,83.29,77.4,7,1
76,6.89,74.63,57.93,4.6,1
117,6.49,84.69,100,7.6,1
89,7.75,92.16,92.47,6.9,0
88,5.71,72.81,100,6.8,0
103,7.21,78.69,75.75,6.2,0
117,7.75,84.61,81.61,7.1,1
85,7.23,75.64,69.49,7.8,1
101,5.96,84.64,85.6,10,1
106,9.09,85.55,60.41,7.2,1
110,7.6,90.83,44.48,9.3,1
103,8.93,73.94,65.51,7.5,1
94,7.24,70.57,57.53,6.9,0
88,6.62,76.92,92.74,7.2,0
101,7.77,70.32,96.79,5.2,1
84,7.28,85.64,58.16,7.5,0
70,6.32,68.38,90.5,4,0
107,8.97,100,86.42,5.7,1
114,6.88,92.96,56.16,7.2,0
70,5.66,80.13,70.32,8.8,1
85,8.83,88.67,68.04,9.1,0
109,7,63.63,83.98,6.6,1
131,6.89,100,60.25,7.2,1
100,5.73,74.1,73.81,8.5,1
89,9.24,78.8,66.77,5,0
97,6.21,61.44,80.68,7.6,1
121,7.56,84.86,72.4,5.8,1
90,8.41,68.94,68.58,6.7,1
88,7.92,81.02,72.44,6.3,1
93,7.44,74.56,99.43,7.7,0
86,5.8,69.22,70,7.8,0
102,6.69,71.96,62.51,8.3,0
124,7.69,82.26,82,7.5,0
105,6.71,67.19,73.28,7.3,0
96,7.7,72.51,58.02,9.8,0
96,8.18,86.63,100,4.7,0
77,8.46,100,70.77,9.5,1
113,6.27,84.78,70.47,6.6,1
99,9.7,70.83,76.92,7.9,0
97,8.27,76.33,95.76,6.5,0
145,7.5,80.32,54.84,5.9,0
104,8.59,76.51,78.31,7.7,1
89,9.87,89.03,100,8.6,0
94,6.06,82.17,76.54,7.7,0
117,7.27,89.08,60.18,6.2,1
102,5.12,76.86,67.58,10,1
78,7.69,93.26,77.48,8.8,1
114,7.87,78.34,90.97,8.4,0
90,7.46,70.29,70.93,6.5,0
128,6.85,100,84.92,6.1,0
116,5.45,61.75,57.78,6.6,1
93,7.87,72.61,57.68,8.6,0
119,8.96,73.73,69.21,5.5,1
101,6.91,100,92.26,5.4,1
113,7.94,98.07,75.83,7.8,1
107,5.93,94.94,78.48,7.5,0
87,7.96,76.69,78.34,5.8,1
90,7.11,100,88.31,5.4,1
115,6.74,83.68,67.68,9.2,1
95,6.74,89.77,83.26,7.5,1
94,7.11,81.8,65.03,5,0
86,7.88,79.51,98.8,5.1,1
106,6.19,77.48,65.4,6.5,0
131,7.1,77.9,64.41,8.1,0
84,7.46,86.08,81.6,7.9,1
100,6.4,83.67,75.96,8.7,0
121,9.3,79.69,78.92,4.8,1
99,6.65,95.1,77.73,7.3,0
107,6.83,50.33,61.92,9.1,1
84,6.52,85.1,94.36,9,0
106,9.3,87.18,85.72,7.5,1
97,8.05,91.47,91.31,10,1
115,6.56,79.35,68.66,7.9,1
118,8.61,82.08,80,8.6,1
139,7.7,89.86,77.37,7.1,1
109,7.76,94.91,88.54,5.8,1
105,7.16,76.99,88.92,5.7,0
103,6.75,82.67,77.32,7.3,0
95,7.84,96.79,56.78,6.7,1
105,6.95,58.76,96.36,4.3,1
96,9.32,73.1,81.67,5.5,1
103,6.23,94.66,67.7,6.5,1
120,9.04,90.93,79.88,8.1,0
85,7.39,85.22,56.87,7,0
117,7.8,75.51,87.66,6.9,1
120,8.33,71.18,57.35,5.5,1
98,6.87,74.09,72.35,7,0
70,8.36,95.48,77.93,9,0
91,4.79,73.72,87.47,7.2,0
119,6.78,81.01,76.28,4.7,0
100,6.58,72.46,82.62,5.1,1
85,6.25,88.43,74.66,7.9,0
92,7.29,74.61,74.61,6.7,1
113,7.89,79.02,76.03,6.9,1
108,8.2,63.17,72.73,6.1,0
96,7.74,63.87,54.76,7.8,0
94,6.83,80.08,65.78,6.5,1
94,7.87,66.75,77.94,6.7,1
86,7.62,100,72.01,5.7,0
124,8.44,59.38,73.13,8.4,1
95,8.28,72,71.12,6.7,1
118,7.53,80.17,64.64,7.9,1
123,6.6,76.35,69.08,5.2,0
115,6.85,68.96,71.32,9.6,1
94,6.95,70.42,75.06,8.9,0
106,7.18,70.09,79.72,4.1,1
100,7.77,77.13,72.83,5.8,0
86,8.22,99.52,62.64,7.7,1
105,7.45,80.78,58.22,5,0
82,7.52,91.83,100,6.8,0
118,7.64,85.07,61.44,7.6,1
93,6.98,91.14,68.78,6.7,0
103,6.57,52,81.2,7.8,0
104,5.74,76.96,79.33,6,1
96,6.8,93.07,81.25,3.6,0
109,7.97,74.28,69.69,8.5,1
93,6.8,97.62,77.86,8.5,1
113,7.26,94.84,75.74,10,1
80,7.97,75.31,71.25,3.7,0
102,8.02,74.97,77.94,8.1,1
129,6.42,69.86,87.66,4,0
85,8.5,73.7,74.73,9.6,0
90,8.63,67.67,74.81,7.7,1
108,6.37,84.29,87.82,5.6,1
103,6.68,65.44,86.54,8.2,0
105,8.69,86.04,94.01,6.2,1
107,7.35,86.28,53.93,7.5,1
110,5.28,63.39,85.86,7.3,0
117,6.1,95.5,82.22,9.6,0
106,7.25,85.14,64.37,9.7,0
96,6.34,87.5,78.02,6.1,1
110,7.09,72.41,87.61,8.6,1
128,7.53,86.22,65.05,7.5,0
98,8.96,91.26,80.31,4.9,0
85,7.21,79.01,85.46,6,1
117,8.57,100,62.15,10,0
98,8.93,80.44,73.29,7.5,1
70,8.93,91.41,78.61,8.5,1
113,7.78,82.93,65.45,6.7,1
92,5.54,85.86,64.45,6.2,1
99,7.96,63.29,73.38,7,0
105,8.55,83.71,84.62,6.6,1
103,7.42,72.65,82.72,4.8,1
111,9.24,71.54,64.66,5.5,0
93,8.36,97.44,82.83,8.1,0
108,8.07,77.86,64.97,6.4,1
96,8.59,69.97,55.68,7,0
111,7.83,76.41,70.59,7.4,0
109,5.01,67,88.48,7.5,0
86,7,94.34,82.87,8.7,0
116,8.7,73.04,74.98,5.4,1
92,6.69,85.29,70,7.9,1
112,7.28,93.56,70.32,8.1,0
106,6.46,75,76.31,8.5,0
128,9.28,85.32,62.18,4.9,1
97,9.18,69.7,70.82,7.4,1
95,6.62,100,72.41,9.6,0
100,7.65,89.36,58.79,6.9,1
95,6.82,78.07,64.94,7.7,1
112,8.11,72.27,79.93,8.2,1
76,8.01,78.86,75.11,5.5,1
84,8.31,76.6,71.29,9.8,1
84,7.83,99.53,64.06,7.7,0
114,10,67.74,93.92,7.8,1
126,6.47,81.35,64.94,4.5,0
98,5.79,79.82,78.02,8.2,0
97,7.11,78.83,69.15,7.8,0
101,5.93,78.91,75.44,9.4,0
117,6.01,78.84,80.49,6.5,0
86,6.5,88.73,58.56,5.5,1
104,6.58,86.09,74.92,6,1
115,6.55,84.19,89.29,6.2,1
108,8.02,49.66,96.14,5.3,1
103,6.99,83,73.44,8.9,1
115,7.32,63.44,75.5,9,0
70,8.39,86.46,100,6.7,1
110,6.73,94.74,88.62,6.4,1
90,7.24,70.74,67.59,4.3,0
73,7.87,77.38,67.57,8,1
108,5.56,74.01,86.48,9.5,0
121,5.12,92.35,62.87,6,1
98,7.85,80.95,88.05,6.8,1
114,7.99,97.28,79.01,7.7,0
124,9.56,84.14,81.21,9.6,1
120,7.66,82.42,71.92,7.3,1
125,8.32,80.68,67.44,7.3,1
111,7.3,88.18,92.54,7.3,0
101,7.8,62.62,72.04,4.9,1
76,9.17,80.85,70.07,4.8,0
96,5.38,79.3,74.04,5.8,0
87,7.91,87.25,77.32,8.5,1
133,9.64,78.12,62.63,6.5,1
97,7.78,69.61,68.22,6.2,0
102,9.15,80.07,67.58,6.2,1
108,6.87,69.17,85.14,6.8,0
101,7.47,60.75,64.37,9.6,0
125,7.53,87.27,53.93,6.8,1
91,5.28,85.79,51.39,5.8,0
103,6.33,84.67,57.36,7,0
89,6.4,93.03,91.34,9.6,1
80,8.32,73.35,75.19,6.2,0
91,8.37,65.69,81.01,5.2,0
99,7.82,79.3,81.44,6.2,0
94,8.32,76.52,75.67,7.2,1
90,7.34,71.58,74.1,8,0
79,8.7,79.2,87.53,8.5,0
99,7.51,73.88,76.75,5.4,0
77,7.56,61.64,91.79,5.6,0
111,7.23,75.59,82.45,6.5,0
101,8.18,68.64,67.59,8,1
78,7.08,82.32,69.03,5.1,0
95,8.48,73.44,66.27,6.1,1
89,6.37,91.12,89.61,6.1,1
105,6.4,96.04,70.14,8.4,1
120,8.19,86.79,65.42,7.8,0
72,7.41,64.49,78.84,8.4,1
102,7.05,95.05,73.83,9,1
98,8.39,95.76,78.53,6.5,1
110,6.89,80.19,97.68,5.2,1
103,7.3,93.23,85.96,5.2,0
89,8.9,74.48,75.32,4.2,1
95,9.04,61.34,58.1,6.3,0
88,9.07,72.4,69,6.4,1
116,7.22,97.29,83.53,8.2,1
100,8.73,65.09,60.95,7,1
129,6.55,80,100,6.3,1
99,6.59,80.34,75.17,6.8,0
89,5.15,74.87,75.59,5.4,1
77,9.17,75.56,67,8.5,0
73,6.64,80.72,80.96,5.8,0
76,7.37,74.38,61.1,5.3,1
104,6.59,65.78,100,8.2,1
108,8.2,82.15,90.81,7.9,0
76,7.12,90.73,86.81,4.4,1
113,6.2,88.7,58.31,8.3,1
93,7.94,71.9,77.46,5.9,1
102,6.07,67.49,89.51,6.4,0
124,6.66,77.16,82.12,7.3,0
113,5.39,95.68,62.97,7.9,1
96,6.08,86.46,67.2,7.7,1
87,7.68,87.04,69.58,6.9,1
70,5.54,88.9,67.76,6.4,1
89,6.02,84.21,93.35,7.6,1
97,7.5,81.21,51.95,6.8,0
85,6.96,86.62,82.87,9.7,1
98,9.49,74.54,59.49,7.9,1
101,9.33,65.86,63.46,5.6,1
97,6.63,87.23,50.88,6.3,1
90,8.06,92.38,68.41,7.1,0
103,8.25,68.82,93.13,8.9,1
107,6.9,88.22,78.18,9.1,1
84,6,96.81,60.62,6.4,1
121,7.49,79.98,87.21,5.6,1
99,7.33,71.82,89.78,5.4,0
100,7.06,81.23,76.25,7.4,1
111,7.94,74.49,99.42,10,1
103,6.75,73.83,84.86,7.8,1
114,6.35,84.33,83.19,4.6,0
104,7.61,63.96,65.36,5.9,0
91,7.89,65.56,82.53,6.1,0
105,6.32,80.19,77.6,5.8,1
83,8.43,79.78,81.24,6.4,0
102,5.73,83.44,66.78,7.6,1
100,6.92,98.75,76.54,8,1
97,7.24,81.05,65.2,8.6,0
98,6.86,85.98,49.23,7.8,0
72,6.93,70.24,86.98,4.1,1
92,9.37,87.68,56.97,5.4,1
101,6.65,74.74,76.29,6.8,1
102,9.94,80.71,79,7.2,1
85,7.94,78.91,78.92,8.3,0
119,7.59,90.33,71.6,7.1,1
87,7.98,66.9,78.25,7.1,0
115,10,57.17,80.65,7.4,0
106,6.51,77.87,83.82,6.6,1
90,6.38,84.69,95.8,7.1,1
127,6.75,81.52,77.81,8.7,0
82,7.53,92.32,75.77,6.9,0
114,5.77,84.37,64.12,7,1
115,7.52,74.36,80.23,6.9,1
90,9.19,56.75,83.01,8.9,0
121,7.65,77.63,72.69,5.3,1
96,7.21,90.28,81.54,9.7,0
104,6.88,76.08,71.49,5.2,0
104,8.4,80.28,83.05,6,0
98,6.67,84.21,85.95,8.1,1
112,9.35,69.85,85.78,8.5,1
112,9.43,86.23,76.41,4.9,0
74,7.76,96.37,62.52,5.4,1
120,7.49,78.27,67.66,7.4,0
75,8.53,68.71,82.14,10,1
115,8.59,79.33,100,8.9,1
117,6.69,57.76,70.91,6.6,0
84,6.97,83.37,80.47,3.4,1
94,6.18,84.52,68.33,7.1,1
83,7.91,96.76,63.31,7.5,1
97,8.17,78.06,66.88,6.4,1
95,6.15,84.08,50.01,5.7,0
112,7.04,71.39,91.24,7.2,1
120,6.15,76.44,48.24,5.6,1
121,6.6,64.75,71.83,9.8,1
92,8.05,78.05,60.86,9.3,1
97,6.77,76.95,64.39,8,0
75,7.2,82.99,91.52,7.1,0
88,5.87,73.76,77.41,6,0
114,7.69,80.83,63.42,7,1
124,7.46,76.67,67.93,9.5,0
81,6.77,76.69,65.81,8.3,1
91,7.31,80.8,74.48,7.3,1
100,7.68,80.41,77.07,8.4,0
104,6.69,87.61,97.75,7.8,1
88,6.02,78.79,52,7.6,0
106,9.31,76.5,74.58,8.5,1
93,6.87,78.19,71.21,7.8,1
100,7.4,72.85,86.36,8.3,1
108,8.51,76.4,79.26,7.2,0
100,10,100,82.08,6.6,1
93,6.26,70.87,79.14,6.2,0
98,7.95,77.21,63.82,6,0
99,6.79,76.13,89.54,4.6,0
94,6.96,77.53,84.58,5.6,0
96,6.78,76.69,85.99,5.6,0
124,6.37,82.79,90.17,6.2,1
108,7.46,62.9,80.01,9.3,0
96,6.03,90.37,92.77,6.8,1
110,8.45,86.33,79.53,7.4,0
95,7.56,67.57,72.37,7.4,0
118,7.92,57.31,74.92,9.4,0
106,7.03,70.23,74.71,6.1,1
98,7.13,77.57,68.77,6.7,0
107,7.79,100,94.58,6.8,1
76,6.34,85.43,78.56,8.7,0
83,7.14,61.92,76.14,9,1
82,6.64,73.1,79.66,7.7,0
102,6.61,79.47,100,8.8,0
126,5.39,82.54,61.42,7.3,1
133,8.84,66.85,64.86,6.7,1
110,6.81,78.65,58.43,8.8,1
108,8.66,72.82,72.21,7.7,1
73,8.57,68.96,77.95,5.9,0
92,6.21,82.6,69.42,8.5,1
88,6.41,87.74,68.52,6.7,0
91,10,88.41,76.71,6.5,1
97,9.25,85.74,68.97,8.3,1
93,7.47,75.03,78.72,6.9,0
70,7.76,87.15,88.37,7.6,0
111,6.87,83.09,83.12,8,1
84,7.93,81.34,85.57,5.8,1
104,6.78,73.88,88.03,7.6,1
131,5.47,75.03,78.39,9,1
86,6.18,80.74,73.1,5.6,1
70,7.52,100,65.73,7.7,1
96,6.37,83.01,70.31,5.8,0
117,7.43,73.89,68.72,8.5,1
129,6.43,71.68,83.78,8.5,1
82,6.72,75.08,79.16,6.5,0
107,8.35,100,83.36,10,0
93,7.75,76.01,61.08,8.7,0
98,7.49,89.07,92.18,8.1,0
140,8.38,76.24,69.88,8,0
77,7.98,82.61,61.8,8.5,1
104,8.95,87.92,69.73,5.5,1
107,7.04,74.28,100,7.3,1
116,7.07,73.59,70.35,7.6,0
101,6.2,96.59,71.1,6.4,0
105,7.07,89.85,72.69,7.7,1
94,8.46,87.91,73.22,8.8,1
104,8.8,87.87,65.62,6.4,0
95,8.46,84.6,76.72,6.9,1
109,5.71,100,87.91,5.8,1
94,8.58,80.44,78.77,4.3,1
106,5.66,85.77,61.67,8.2,0
100,8.4,65.49,70.87,7,1
117,7.13,71.75,68.38,7.1,1
99,8.2,67.99,75.64,5.5,1
73,6.17,92.74,90.97,6.7,0
119,8.67,54.47,73.21,8.6,1
86,6.04,75.98,73.94,7,1
90,6.83,50.06,96.33,7,1
91,6.5,71.69,85.51,7.3,1
121,5.75,75.09,81.89,5.1,0
70,7.59,93.85,98.5,7.9,1
145,9.31,83.97,80.88,5.1,0
116,10,71.67,51.16,5.6,1
103,7.6,90.66,84.99,5.4,1
99,8.62,80.18,55.9,6.7,0
104,7.73,80.38,80.42,6.5,1
108,8,67.97,54.44,7,1
110,7.16,70.1,69.4,5.6,1
108,7.7,71.75,70.63,8.5,0
101,8.04,80.46,65.76,8.3,0
97,6.92,80.78,70.81,6.7,1
98,7.42,95.44,87.39,6.3,0
97,7.44,83.85,66.43,6.1,1
117,8.33,52.92,81.54,6.5,0
109,6.43,82.63,63.41,4.9,1
70,7.45,65.5,72.73,5.6,0
110,9.41,70.34,78.89,8.3,1
103,8.66,71.88,63.04,7.5,1
100,8.85,73.37,59.26,9.5,1
94,7.52,66.25,80.9,6.6,0
117,7.82,82.03,88.48,6.5,0
114,8.5,65.89,74.05,6.4,1
88,9.06,83.57,69.51,6.5,0
106,5.55,100,76.87,6,0
85,6.18,66.71,75.67,7.4,0
79,8.81,77.15,77.91,7,1
91,7.22,54.77,44.66,6.2,0
113,6.83,76.99,62.17,8.9,1
114,6.25,86.43,64.86,9.8,1
108,6.94,87.21,76.81,8.7,0
111,6.1,80.77,77.23,7.8,0
108,9.59,88.89,82.63,8.1,1
90,7.48,100,78.09,9.8,1
106,7.44,97.12,59.39,8.1,0
112,8.09,74.77,92.36,6.1,1
111,8.46,65.49,90.26,7.6,0
118,8.45,75.94,59.9,7.9,1
111,8.57,70.53,78.99,5.5,1
105,6.87,84.51,67.85,6.6,0
116,7.2,68.19,76.67,8.7,0
100,8.27,79.27,87.64,4.3,1
87,6.97,88.38,100,5.1,1
98,7.49,78.99,84.02,6.7,1
89,7.9,70.54,78.54,7.5,1
90,8.29,91.75,70.92,5,0
98,5.72,61.21,77.19,6.8,0
88,8.21,76.72,91.32,8.7,1
95,7.27,79.58,74.46,7.1,0
72,8.21,80.16,64.37,8.4,0
103,8.28,81.8,55.56,6.1,1
100,9.11,86.1,81.16,5.8,1
88,8.85,79.65,77.97,8.3,0
110,8.85,76.32,67.25,7.6,0
114,8.94,75.92,87.31,5.2,1
76,7.79,73.88,69.94,5.8,1
89,7.53,87.88,73.38,9.3,1
88,8.37,73.53,74.8,5.6,0
86,8.23,88.47,70.79,8.4,1
112,7.19,80.19,77.83,6.3,1
97,7.9,74.79,88.82,7,0
96,7.46,86.18,61.29,7.4,0
70,6.65,72.73,80.86,3.8,0
110,8.79,86.38,77.07,4.8,1
81,7.56,82.13,76.85,7.1,1
101,9.55,74.04,85.46,5.9,0
104,5.87,85.29,75.59,8.5,0
120,6.94,85.47,80.76,4.6,0
80,7.53,91.58,83.59,7.8,0
70,8.64,89.66,68.95,4.9,0
103,7.9,84.91,78.59,6.5,1
127,7.81,68.72,71.99,5.4,1
119,6.37,100,73.41,9.9,1
103,6.34,65.96,71.14,5,0
93,7.82,89.49,80.65,6.8,1
112,6.14,84.31,75.98,4.4,0
85,6.97,68.26,79.73,9.4,1
107,8,78.76,74.79,7.6,0
108,6.52,79.21,55.75,7.2,1
116,9.11,93.06,75.38,9.2,1
141,8.72,72.87,75.76,7.2,0
106,5.93,77.38,77.91,7.3,1
92,6.57,56.64,67.88,7.2,0
100,5.21,97.35,60.65,7.8,1
73,6.72,69.3,82.5,6.3,0
90,8.27,83.27,71.72,6.7,0
94,7.09,78.99,77.05,8.2,0
92,7.96,79.02,71.62,7.4,0
102,5.98,88.1,74.93,6.8,0
88,8.3,96.71,69.61,4.9,1
117,6.94,82.51,63.38,9.2,1
100,7.51,86.55,80.68,6,1
100,7.41,83.29,67.76,8.5,0
95,6.23,90.18,76.97,7.3,0
102,6.35,75.37,79.93,5.1,1
112,8.47,90.75,67.96,8.9,1
87,7.9,91.1,60.55,7.4,1
90,8.55,90.83,100,9,1
95,7.82,73.4,68.67,6.7,0
80,7.64,78.32,82.48,8.1,0
88,5.77,82.39,98.27,4.4,0
93,7.23,66.29,84.48,6.2,1
113,7.47,95.95,71.39,5.1,0
104,9.45,79.88,74.19,6.4,1
103,8.19,82.84,65.01,7.7,1
113,9.04,74.23,85.58,6.1,0
98,8.1,66.73,81.8,8.3,1
106,6.79,73.96,68.83,5.7,1
98,7.62,82.19,62.49,8.3,1
104,7.74,86.73,59.15,9,1
91,6.56,81.62,86.84,8.5,0
70,7.12,83.47,76.44,6.5,0
98,7.29,76.63,77.58,3.8,0
121,9.11,84.96,65.12,7.9,1
114,5.42,94.83,57.44,6.8,1
114,8.71,87.05,86.55,5.5,1
119,6.56,88.1,75.5,6.2,0
101,6.13,82.94,85.89,9.2,1
103,8.68,64.97,70.37,5.3,0
91,8.23,69.55,72.16,7.7,1
95,8.75,84.55,83.56,7.3,0
109,8.3,79.89,83.79,6.5,0
118,9.56,84.4,84.57,8,1
98,8.06,96.76,71.46,9.4,0
93,7.34,87.26,82.37,6.6,1
100,7.84,92.59,88.31,6.6,1
109,8.74,80.95,73.74,7.9,1
78,6.72,71.93,68.84,8.4,0
70,6.85,79.42,91.11,6.8,1
92,7.19,71.95,67.15,6.5,1
82,5.4,95.58,82.55,3.7,0
92,7.64,87.9,74.3,5.8,1
98,5.61,85.21,52.9,5.3,0
93,7.55,92.36,88.54,8,0
122,8.37,59.8,41.91,6.6,1
105,7.02,85.88,51.19,6.6,1
105,9.18,66.89,81.33,7,0
109,6.04,79.93,81.32,5.7,1
83,8.69,76.88,67.35,9.3,1
116,8.18,86.62,76.77,8.9,1
99,5.78,82.28,44.62,9.4,0
110,10,93.45,83.48,8,1
84,7.44,73.98,78,7,1
77,6.62,87.09,74.45,9.4,1
112,6.09,81.62,75.25,6,1
106,7.28,63.65,80.92,5.7,0
86,7.37,70.81,74.65,6.1,1
87,7.6,78.5,52.51,7.8,0
117,7.2,91.12,100,5.9,1
82,8.13,84.64,89.41,6.8,1
125,7.11,68.32,59.58,4.6,1
86,5.57,78.6,70.86,7.7,1
110,7.35,100,72.17,4.7,1
95,5.13,81.11,87.95,5.6,0
109,7.85,76.73,49.09,8.8,0
92,6.52,84.92,69.01,8.8,1
98,7.66,87.63,53.87,7.6,0
101,8.81,75.44,71.58,7.4,0
85,6.55,85.03,69.33,6.2,1
111,8.56,76.71,75.96,5.8,1
92,7.07,87.19,67.74,6.5,0
97,9.25,81.7,65.99,4.7,1
85,7.13,84.82,82.44,7.4,0
70,6.66,72.41,80.46,7.1,0
97,8.19,71.79,81.62,5.6,1
136,7.06,89.45,72.88,9.4,0
112,6.66,79.21,68.14,7.9,1
100,7.02,82.85,73.57,8,1
96,7.46,76.94,81.01,6.3,1
100,8.84,88.99,48.88,7,1
108,5.57,73.92,79.73,7.9,1
82,7.52,78.64,78.71,7.2,1
117,8.12,87.86,75.75,9.4,0
111,7.69,91.73,73.21,6.7,1
111,8.81,74.76,44.21,6.2,1
107,7.43,99.6,69.72,8,1
100,7.32,83.13,96.47,5.1,1
110,8.09,69.57,75.15,8.4,1
109,7.6,83.69,71.31,5,0
95,7.11,76.17,75.2,8,1
91,8.02,84.34,79.26,6,0
